No	unit	文番号	英文	日訳	キー文法1	キー文法2	キー文法3	備考
1	1	1-H-1	What do you see in the pictures?	あなたはこの写真の中に何が見えますか？	疑問詞(What)	doの疑問文		
1	1	1-1-1	Today, I want to tell you about my country, the Republic of South Africa.	今日、私は私の国、南アフリカ共和国についてあなたにお話したいと思います。	want to do	tell A about B		
2	1	1-1-2	It's here, at the southern tip of the African continent.	それはここ、アフリカ大陸の南の端にあります。	be動詞(is)	at (場所)		
3	1	1-1-3	"We are called the ""Rainbow Nation"" because of our cultural diversity."	私たちは文化の多様性のために「虹の国」と呼ばれています。	受動態	call A B (の受動態)	because of	
4	1	1-1-4	English is spoken as an official language, but we have ten other official languages.	英語は公用語として話されていますが、私たちには他に10の公用語があります。	受動態	as (資格)		
5	1	1-1-5	We have many national parks with diverse wildlife.	私たちには多様な野生生物がいる国立公園がたくさんあります。	many			
6	1	1-1-6	Now, I want to introduce Ms. Ota Yuka to you.	さて、私はあなたにオオタ・ユカさんを紹介したいと思います。	want to do	introduce A to B		
7	1	1-1-7	She is a safari guide in Greater Kruger.	彼女はグレーター・クルーガーでサファリガイドをしています。	be動詞(is)			
8	1	1-1-8	Today, she will guide us through the safari in real time on the internet.	今日、彼女がインターネットのリアルタイムで私たちをサファリへと案内してくれます。	will	guide A through B		
9	1	1-1-9	Here's Ms. Ota.	オオタさんです。	Here is ~			
1	1	1-2-1	Ms. Ota: Hello!	オオタさん：こんにちは！	(挨拶)			
2	1	1-2-2	Welcome to our amazing virtual safari tour.	私たちのアメージングなバーチャルサファリツアーへようこそ。	Welcome to ~			
3	1	1-2-3	First, let me show you something interesting.	まず、何か面白いものをお見せしますね。	let O do	something + 形容詞		
4	1	1-2-4	What's this?	これは何ですか？	疑問詞(What)			
5	1	1-2-5	Can you guess?	推測できますか？	can			
6	1	1-2-6	Tina: It's big!	それは大きい。	be動詞(is)			
7	1	1-2-7	Is it an elephant's footprint?	それは象の足跡ですか？	be動詞の疑問文			
8	1	1-2-8	Yes, this footprint will help us find the elephant.	はい、この足跡が象を見つけるのを助けてくれるでしょう。	will	help O do		
9	1	1-2-9	It may be near here.	それはこの近くにいるかもしれません。	may			
10	1	1-2-10	Let's go and look.	行って見てみましょう。	Let's do			
11	1	1-2-11	Later:	その後：	(場面転換)			
12	1	1-2-12	Look over there.	あそこを見て。	命令文			
13	1	1-2-13	Elephants!	象だ！	(名詞の感嘆)			
14	1	1-2-14	Yeah, what are they doing?	ええ、彼らは何をしているのですか？	現在進行形	疑問詞(What)		
15	1	1-2-15	Well, they're bathing in water to keep cool.	ええと、彼らは涼しく保つために水浴びをしています。	現在進行形	to不定詞(副詞的用法)		
16	1	1-2-16	They also bathe in mud.	彼らは泥の中でも水浴びをします。	also			
17	1	1-2-17	They like to keep themselves clean and healthy by bathing.	彼らは水浴びをすることで自分たちを清潔で健康に保つのが好きです。	like to do	keep O C	by -ing	
18	1	1-2-18	I didn't know that.	それは知りませんでした。	did not (didn't)			
1	1	1-3-1	Hajin: Ms. Thusi told us that you also do conservation.	ハジン：トゥシさんが、あなたも保護活動をしていると私たちに教えてくれました。	tell O that S V	do (動詞の強調)		
2	1	1-3-2	Ms. Ota: Yes.	オオタさん：はい。	(応答)			
3	1	1-3-3	That's my other job.	それが私のもう一つの仕事です。	be動詞(is)			
4	1	1-3-4	I monitor animals' lives, and I protect them.	私は動物たちの生活を観察し、そして彼らを守っています。	and			
5	1	1-3-5	Illegal hunters kill the rhinos for their horns.	違法なハンターたちが角のためにサイを殺します。	for (目的)			
6	1	1-3-6	Eri: That's terrible.	エリ：それはひどいですね。	be動詞(is)			
7	1	1-3-7	We cut off their horns safely so that illegal hunters won't kill them.	私たちは、違法なハンターたちが彼らを殺さないように、安全に角を切り落とします。	so that S will/can/may V	won't (will not)		
8	1	1-3-8	Kota: What's your message for us in Japan?	コウタ：日本の私たちへのメッセージは何ですか？	疑問詞(What)			
9	1	1-3-9	Ms. Ota: In the savanna, there is an ecosystem.	オオタさん：サバンナには、生態系があります。	There is ~			
10	1	1-3-10	All living things are connected in a circle of life.	すべての生き物は、生命の環の中（で）つながっています。	受動態	All ~		
11	1	1-3-11	Each one depends on another to live.	それぞれが、生きるために他のものに依存しています。	Each	depend on ~	to不定詞(副詞的用法)	
12	1	1-3-12	Humans should respect this.	人間はこれを尊重すべきです。	should			
1	1	1-G-1	Wild Giant Panda Populations	野生ジャイアントパンダの個体数	(見出し)			
2	1	1-G-2	Giant Pandas No Longer Endangered	ジャイアントパンダはもはや絶滅危惧種ではない	(見出し)			
3	1	1-G-3	Great news!	素晴らしいニュースです！	(感嘆)			
4	1	1-G-4	Giant pandas were removed from the endangered species list in China in 2021.	ジャイアントパンダは2021年に中国の絶滅危惧種リストから外されました。	受動態	remove from ~		
5	1	1-G-5	In the 1980s, because of hunting and destruction of bamboo forests, giant pandas became endangered.	1980年代、狩猟と竹林の破壊のために、ジャイアントパンダは絶滅の危機に瀕しました。	because of	become C		
6	1	1-G-6	People found that the situation was serious and started working hard to protect and breed pandas.	人々は状況が深刻であると気づき、パンダを保護し繁殖させるために熱心に取り組み始めました。	find that S V	start -ing	to不定詞(副詞的用法)	
7	1	1-G-7	Thanks to their efforts, today it is said that more than 1,850 pandas remain in the wild in China.	彼らの努力のおかげで、今日、1,850頭以上のパンダが中国の野生に残っていると言われています。	it is said that ~	more than ~		
8	1	1-G-8	However, the panda's future is not yet secure.	しかしながら、パンダの未来はまだ安全ではありません。	not yet			
9	1	1-G-9	So, many people in China are still working hard.	そのため、中国の多くの人々が今も熱心に取り組んでいます。	so			
10	1	1-G-10	"These days, smart technology like the “Digital Panda System"" is helping them protect panda habitats."	最近では、「デジタルパンダシステム」のようなスマートテクノロジーが、彼らがパンダの生息地を保護するのを助けています。	like (前置詞)	help O do		
11	1	1-G-11	For example, the system can find wildfires in the deep forest from the sky.	例えば、そのシステムは空から深い森の山火事を見つけることができます。	can			
12	1	1-G-12	The success of their conservation activities gives us hope for other endangered species.	彼らの保護活動の成功は、私たちに他の絶滅危惧種への希望を与えます。	give A B			
1	2	2-H-1	The Minami High School Festival	南高校祭	(タイトル)			
2	2	2-H-2	May 10 [Sat.] - 11 [Sun.]	5月10日(土) - 11日(日)	(日付)			
3	2	2-H-3	Where do you want to go on your school trip, and why?	あなたは修学旅行でどこに行きたいですか、そしてそれはなぜですか？	疑問詞(Where/Why)	want to do		
4	2	2-H-4	What will happen during their school trip?	彼らの修学旅行中に何が起こるでしょうか？	疑問詞(What)	will		
1	2	2-1-1	On the way to Kiyomizu-dera Temple:	清水寺へ向かう途中：	(場面)			
2	2	2-1-2	Do we go up the hill?	私たちはこの丘を上るのですか？	doの疑問文	go up		
3	2	2-1-3	Yes. This way.	はい。こちらです。	(応答)			
4	2	2-1-4	This is so beautiful.	これはとても美しいです。	so (副詞)			
5	2	2-1-5	It's like traveling back in time.	まるで時間をさかのぼって旅をしているみたいです。	like (前置詞)	動名詞		
6	2	2-1-6	Look. I think that's the tower of Yasaka.	見て。あれが八坂の塔だと思う。	think (that) S V			
7	2	2-1-7	Cool!	かっこいい！	(感嘆)			
8	2	2-1-8	Later:	その後：	(場面転換)			
9	2	2-1-9	We've arrived at the top!	私たちは頂上に着きました！	現在完了形(完了)			
10	2	2-1-10	We've finally reached the famous stage of Kiyomizu-dera Temple.	私たちはついに清水寺の有名な舞台に到着しました。	現在完了形(完了)			
11	2	2-1-11	Wow, this is amazing!	うわあ、これはすごい！	(感嘆)			
12	2	2-1-12	The view is breathtaking.	この眺めは息をのむようです。	be動詞(is)			
13	2	2-1-13	You can see the whole of Kyoto from here!	ここから京都のすべてが見えますね！	can			
1	2	2-2-1	They get off the bus:	彼らはバスを降ります：	(場面)			
2	2	2-2-2	I think Kyoto Station is that way.	京都駅はあちら側だと思います。	think (that) S V			
3	2	2-2-3	Tina, have you checked your photos yet?	ティナ、もう写真は確認した？	現在完了形(完了)	yet (疑問文)		
4	2	2-2-4	No, I haven't.	いいえ、まだです。	(応答)			
5	2	2-2-5	I'll do it at the hotel.	ホテルでやります。	will (I'll)			
6	2	2-2-6	I want to share them with my family.	家族と共有したいです。	want to do	share A with B		
7	2	2-2-7	Wait a minute!	ちょっと待って！	命令文			
