No	unit	文番号	熟語・構文	意味1	用法1	意味2	用法2	備考
1	1	1-H-1						
2	1	1-1-1	want to do	〜したい	[構文]			
3	1	1-1-1	the Republic of South Africa	南アフリカ共和国	[固有名詞][国家名]			
4	1	1-1-3	because of ~	〜のために、〜が原因で	[熟語]			
5	1	1-1-6	introduce A to B	AをBに紹介する	[構文]			
6	1	1-1-8	real time	リアルタイム、実時間	[熟語]			
7	1	1-2-2	welcome to ~	〜へようこそ	[口語表現]			
8	1	1-2-3	let O do	Oに〜させる	[構文]			
9	1	1-2-3	something interesting	何か面白いこと	[構文]			
10	1	1-2-8	help O do	Oが〜するのを助ける	[構文]			
11	1	1-2-9	near here	この近くに	[句]			
12	1	1-2-10	let's do	〜しよう	[構文]			
13	1	1-2-12	look over there	あそこを見て	[句]			
14	1	1-2-15	in water	水の中で	[句]			
15	1	1-2-15	keep cool	涼しく保つ	[句]			
16	1	1-2-16	in mud	泥の中で	[句]			
17	1	1-2-17	like to do	〜することが好きだ	[構文]			
18	1	1-2-17	keep O C	OをCの状態に保つ	[構文]			
19	1	1-2-17	by -ing	〜することによって	[構文]			
20	1	1-3-7	cut off ~	〜を切り取る	[熟語]			
21	1	1-3-7	so that ~	〜するために	[構文]			
22	1	1-3-8	for us	私たちへの	[句]			
23	1	1-3-9	in the savanna	サバンナには	[句]			
24	1	1-3-10	living thing(s)	生き物	[熟語]			
25	1	1-3-10	in a circle of life	生命の環の中で	[句]			
26	1	1-3-11	depend on ~	〜に頼る、〜次第である	[熟語]			
27	1	1-3-11	to live	生きるために	[句]			
28	1	1-G-1	giant panda	ジャイアントパンダ	[固有名詞]			
29	1	1-G-2	no longer	もはや〜ない	[熟語]			
30	1	1-G-4	remove from ~	〜から取り除く	[句]			
31	1	1-G-4	in China	中国で	[句]			
32	1	1-G-5	in the 1980s	1980年代に	[句]			
33	1	1-G-6	work hard	一生懸命働く、熱心に取り組む	[熟語]			
34	1	1-G-7	thanks to ~	〜のおかげで	[熟語]			
35	1	1-G-7	it is said that ~	〜と言われている	[構文]			
36	1	1-G-7	more than ~	〜以上	[熟語]			
37	1	1-G-7	in the wild	野生で	[句]			
38	1	1-G-10	these days	近頃、最近では	[熟語]			
39	1	1-G-11	for example	例えば	[熟語]			
40	1	1-G-11	from the sky	空から	[句]			
