No	unit	文番号	英文	日訳	キー文法1	キー文法2	キー文法3	備考
1	3	3-H-1	Lessons From Hiroshima	広島からの教訓	(タイトル)			
2	3	3-H-2	What will they learn in Hiroshima?	彼らは広島で何を学ぶのでしょうか？	疑問詞(What)	will		
3	3	3-H-3	Do you know about this monument in Hiroshima?	広島にあるこの記念碑について知っていますか？	doの疑問文	know about ~		
4	3	3-H-4	Hi, Josh! Thank you for calling.	こんにちは、ジョシュ！電話してくれてありがとう。	Thank you for -ing			
5	3	3-H-5	I'm looking forward to seeing you!	あなたに会えるのを楽しみにしています！	look forward to -ing			
6	3	3-H-6	I have ..., so I'll bring it.	私は...を持っているので、それを持って行きます。	so	will (I'll)		
7	3	3-1-1	This is the Atomic Bomb Dome.	これが原爆ドームです。	be動詞(is)			
8	3	3-1-2	The world's first atomic bomb was dropped near here at 8:15 a.m. on August 6, 1945.	世界で最初の原子爆弾が、1945年8月6日午前8時15分にこの近くに投下されました。	受動態	at (時間)	on (日付)	
9	3	3-1-3	The dome has been like this for about 80 years.	ドームは、約80年間この状態のままです。	現在完了形(継続)	for (期間)		
10	3	3-1-4	It reminds us of the horrors of the atomic bomb.	それは私たちに原子爆弾の恐ろしさを思い出させます。	remind A of B			
11	3	3-1-5	It's also a reminder of our mission to work for peace.	それはまた、平和のために働くという私たちの使命を思い出させるものでもあります。	to不定詞(形容詞的用法)			
12	3	3-1-6	Does anyone have any questions?	誰か質問はありますか？	doの疑問文			
13	3	3-1-7	How long have you been a peace volunteer?	あなたはどのくらいの間ピースボランティアをしているのですか？	現在完了形(継続)	How long ~?		
14	3	3-1-8	I've been a volunteer since 2000.	私は2000年からボランティアをしています。	現在完了形(継続)	since (起点)		
15	3	3-1-9	That's a long time!	長い時間ですね！	be動詞(is)			
16	3	3-2-1	Why did you become a volunteer?	なぜボランティアになったのですか？	疑問詞(Why)	didの疑問文		
17	3	3-2-2	When my daughter was a child, she often asked me questions about the peace monuments, but I couldn't answer.	私の娘が子供だったとき、彼女はよく平和記念碑について私に質問しましたが、私は答えることができませんでした。	when (接続詞)	ask A B	can (could)	
18	3	3-2-3	I realized that I didn't know much about the atomic bomb.	私は原子爆弾についてあまり知らないことに気づきました。	realize that S V	not much		
19	3	3-2-4	So I wanted to learn about the bombing.	だから、私はその爆撃について学びたいと思いました。	want to do			
20	3	3-2-5	I was determined to tell people, especially young people, about these tragic events.	私はこれらの悲劇的な出来事について、人々、特に若い人々に伝えようと決心していました。	be determined to do	especially		
21	3	3-2-6	Young people must learn about these events to create a better world.	若い人々は、より良い世界を創造するために、これらの出来事について学ばなければなりません。	must	to不定詞(副詞的用法)		
22	3	3-2-7	On the Shinkansen	新幹線にて	(場面)			
23	3	3-2-8	I've been thinking about our trip to Hiroshima.	私は広島への旅行についてずっと考えています。	現在完了進行形			
24	3	3-2-9	Me, too.	私もです。	(応答)			
25	3	3-2-10	What can we do to promote peace in the world?	世界の平和を促進するために、私たちは何ができますか？	can	to不定詞(副詞的用法)		
26	3	3-3-1	Kota's writing a report:	コウタはレポートを書いています：	現在進行形			
27	3	3-3-2	Our trip to Hiroshima was a valuable experience for me.	広島への私たちの旅行は、私にとって貴重な経験でした。	be動詞(was)			
28	3	3-3-3	Before our trip, our teacher told us what to see in Hiroshima: the Atomic Bomb Dome.	旅行の前、先生は私たちに広島で何を見るべきか、すなわち原爆ドームについて教えてくれました。	tell A B	間接疑問文(what to do)		
29	3	3-3-4	There I met a peace volunteer.	そこで私は一人のピースボランティアに会いました。	meet			
30	3	3-3-5	Though she wasn't a victim of the atomic bomb, she learned about the victims.	彼女は原爆の犠牲者ではありませんでしたが、犠牲者について学びました。	Though S V			
31	3	3-3-6	The survivors of the atomic bomb are getting older year by year.	原爆の生存者たちは、年々歳をとっていっています。	get + 比較級	year by year		
32	3	3-3-7	She thinks we should pass their words on to the next generation.	彼女は、私たちは彼らの言葉を次の世代に伝えるべきだと考えています。	think (that) S V	should	pass ~ on to ...	
33	3	3-3-8	From her, I learned a lot about the war and the tragic events of August 6, 1945.	彼女から、私は戦争と1945年8月6日の悲劇的な出来事について多くを学びました。	a lot			
34	3	3-3-9	She showed us how to work for world peace.	彼女は私たちに、世界平和のためにどのように働くかを示してくれました。	show A B	間接疑問文(how to do)		
35	3	3-3-10	It's important for us to learn about the past and share it with others.	私たちが過去について学び、それを他の人々と共有することは重要です。	It is ~ for A to do			
36	3	3-G-1	Peace can't be built by words alone.	平和は言葉だけでは築くことはできません。	受動態	can't (cannot)		
37	3	3-G-2	I became a peace volunteer because of my daughter's questions.	私は娘の質問がきっかけでピースボランティアになりました。	because of ~			
38	3	3-G-3	I was born and raised in Hiroshima, and I learned about the A-bombing at school.	私は広島で生まれ育ち、学校で原爆投下について学びました。	受動態	and		
39	3	3-G-4	However, when my daughter asked me some questions about it, I found that I couldn't answer in my own words.	しかし、娘がそれについていくつか質問したとき、私は自分の言葉で答えられないことに気づきました。	when (接続詞)	find that S V	can (could)	
40	3	3-G-5	I decided to learn about the A-bombing of Hiroshima again.	私は再び広島の原爆投下について学ぼうと決心しました。	decide to do			
41	3	3-G-6	I wanted to pass down my own words to younger people, such as my daughter.	私は自分の言葉を、娘のような若い人たちに伝えていきたいと思いました。	want to do	pass down ~	such as ~	
