No	unit	文番号	単語	品詞	意味1(文脈)	意味2(代表義)	意味3(その他)	分類
1	4	4-H-1	happen	v	起こる			
2	4	4-H-2	hurricane	n	ハリケーン			
3	4	4-H-2	hit	v	〜を襲う	〜を打つ		
4	4	4-H-3	start	v	〜を始める			
5	4	4-H-3	raise	v	（資金）を集める	〜を上げる、育てる		
6	4	4-H-3	lamp	n	ランプ			
7	4	4-H-3	hand-powered	adj	手動の			
8	4	4-H-3	machine	n	機械			
9	4	4-H-4	receive	v	〜を受け取る			
10	4	4-H-4	president	n	大統領			
11	4	4-H-4	environmental	adj	環境の			
12	4	4-H-4	youth	n	若者、青年期			
13	4	4-H-4	award	n	賞			
14	4	4-H-6	restart	v	〜を再開する			
15	4	4-H-6	project	n	プロジェクト、計画			
16	4	4-H-6	help	v	〜を助ける			
17	4	4-H-7	Syrian	adj	シリアの			
18	4	4-H-7	civil	adj	市民の	内戦の		
19	4	4-H-8	flee	v	〜から逃げる			
20	4	4-H-9	bring	v	〜を持ってくる	(過去形)brought		
21	4	4-H-10	move	v	引っ越す	動く		
22	4	4-H-10	refugee	n	難民			
23	4	4-H-10	camp	n	キャンプ			
24	4	4-H-11	tell	v	〜に話す			
25	4	4-H-11	adult	n	大人			
26	4	4-H-11	importance	n	重要性			
27	4	4-H-11	education	n	教育			
28	4	4-H-12	become	v	〜になる			
29	4	4-H-12	ambassador	n	大使			
30	4	4-H-13	use	v	〜を使う			
31	4	4-H-13	AI	n	人工知能			
32	4	4-H-13	device	n	装置、機器			
33	4	4-H-13	daily	adj	毎日の			
34	4	4-H-14	opinion	n	意見			
35	4	4-1-2	make	v	（進歩）を遂げる	〜を作る	(過去分詞)made	
36	4	4-1-2	progress	n	進歩			
37	4	4-1-2	lately	adv	最近			
38	4	4-1-3	become	v	〜になる	(過去分詞)become		
39	4	4-1-3	part	n	一部			
40	4	4-1-4	search	n	検索			
41	4	4-1-4	engine	n	エンジン			
42	4	4-1-4	use	v	〜を使う			
43	4	4-1-5	respond	v	応答する			
44	4	4-1-5	voice	n	声			
45	4	4-1-5	command	n	命令			
46	4	4-1-5	common	adj	一般的な、普通の			
47	4	4-1-6	robot	n	ロボット			
48	4	4-1-6	automatically	adv	自動的に			
49	4	4-1-6	clean	v	〜を掃除する			
50	4	4-1-6	popular	adj	人気のある			
51	4	4-1-8	translation	n	翻訳			
52	4	4-1-8	software	n	ソフトウェア			
53	4	4-1-9	can	v	〜できる			
54	4	4-1-9	come	v	（考えが）浮かぶ	来る		
55	4	4-1-9	good	adj	良い		(最上級)best	
56	4	4-1-11	help	v	〜を助ける			
57	4	4-1-11	communicate	v	コミュニケーションをとる			
58	4	4-1-11	quite	adv	かなり、非常に			
59	4	4-1-11	easily	adv	簡単に			
60	4	4-2-1	discussion	n	議論、ディスカッション			
61	4	4-2-1	topic	n	話題、トピック			
62	4	4-2-2	still	adv	依然として、まだ			
63	4	4-2-2	need	v	〜を必要とする			
64	4	4-2-2	learn	v	〜を学ぶ			
65	4	4-2-2	foreign	adj	外国の			
66	4	4-2-4	think	v	〜だと思う			
67	4	4-2-4	useful	adj	役立つ			
68	4	4-2-5	have	v	（親族が）いる	持つ		
69	4	4-2-5	uncle	n	おじ			
70	4	4-2-5	run	v	〜を経営する	走る		
71	4	4-2-5	restaurant	n	レストラン			
72	4	4-2-6	good	adj	上手な	良い		
73	4	4-2-6	speak	v	〜を話す			
74	4	4-2-6	customer	n	客			
75	4	4-2-7	can	v	〜できる			
76	4	4-2-8	point	n	要点	点		
77	4	4-2-9	want	v	〜したいと思う			
78	4	4-2-9	rely	v	頼る			
79	4	4-3-1	say	v	言う			
80	4	4-3-2	go	v	進む			
81	4	4-3-3	agree	v	同意する			
82	4	4-3-4	enjoy	v	〜を楽しむ			
83	4	4-3-4	study	v	勉強する			
84	4	4-3-4	more	adv	もっと			
85	4	4-3-6	right	adj	正しい	右の		
86	4	4-3-7	convenient	adj	便利な			
87	4	4-3-9	broaden	v	〜を広げる			
88	4	4-3-9	view	n	見方、視点	景色		
89	4	4-3-10	understanding	n	理解			
90	4	4-3-11	everyone	prn	みんな、全員			
91	4	4-3-12	share	v	〜を共有する			
92	4	4-G-1	directly	adv	直接に			
93	4	4-G-3	hate	v	〜することをひどく嫌う	〜を憎む		
94	4	4-G-5	tool	n	道具、ツール			
95	4	4-G-5	translate	v	〜を翻訳する			
96	4	4-G-5	various	adj	様々な			
97	4	4-G-6	too	adv	〜すぎる			
98	4	4-G-10	positive	adj	前向きな、積極的な			
99	4	4-G-10	toward	prep	〜に対して			
100	4	4-G-10	different	adj	異なる			
101	4	4-G-11	sure	adj	確信して			
102	4	4-G-11	necessary	adj	必要な			
103	4	4-G-15	keep	v	〜し続ける			
104	4	4-G-16	remember	v	〜を覚えている			
105	4	4-G-16	those	prn	人々	あれら		
106	4	4-G-16	nothing	prn	何も〜ない			
