No	unit	文番号	単語	品詞	意味1(文脈)	意味2(代表義)	意味3(その他)	分類
1	4A	LR2-1	imagine	v	〜を想像する			
2	4A	LR2-2	human-like	adj	人間のような			
3	4A	LR2-3	scientist	n	科学者			
4	4A	LR2-3	continue	v	〜し続ける			
5	4A	LR2-3	invent	v	〜を発明する			
6	4A	LR2-5	relationship	n	関係			
7	4A	LR2-6	cyborg-type	n	サイボーグ型			
8	4A	LR2-7	itself	prn	それ自身			
9	4A	LR2-7	carry	v	〜を運ぶ			
10	4A	LR2-7	heavy	adj	重い			
11	4A	LR2-7	injury	n	怪我			
12	4A	LR2-8	facility	n	施設	(複数形)facilities		
13	4A	LR2-10	transfer	v	〜を移す、移動させる			
14	4A	LR2-10	elderly	adj	年配の			
15	4A	LR2-13	addition	n	追加			
16	4A	LR2-13	improve	v	〜を改善する			
17	4A	LR2-13	maintain	v	〜を維持する			
18	4A	LR2-13	physical	adj	身体の			
19	4A	LR2-13	function	n	機能			
20	4A	LR2-14	widen	v	〜を広げる			
21	4A	LR2-14	possibility	n	可能性	(複数形)possibilities		
22	4A	LR2-15	avatar	n	アバター			
23	4A	LR2-16	mean	v	〜を意味する			
24	4A	LR2-16	represent	v	〜を表す、代表する			
25	4A	LR2-17	real	adj	現実の			
26	4A	LR2-18	user	n	使用者			
27	4A	LR2-19	illness	n	病気			
28	4A	LR2-23	control	v	〜を操作する、制御する			
29	4A	LR2-23	movement	n	動き			
30	4A	LR2-23	finger	n	指			
31	4A	LR2-24	live	adj	生の、ライブの			
32	4A	LR2-24	send	v	〜を送る	(過去分詞)sent		
33	4A	LR2-24	microphone	n	マイク			
34	4A	LR2-25	serve	v	（飲食物を）出す、給仕する			
35	4A	LR2-26	try	v	〜を試す、挑戦する			
36	4A	LR2-28	sociable	adj	社交的な			
37	4A	LR2-30	trash	n	ゴミ			
38	4A	LR2-30	pick	v	〜を拾う			
39	4A	LR2-31	somebody	prn	誰か			
40	4A	LR2-32	useless	adj	役に立たない			
41	4A	LR2-32	helpless	adj	無力な			
42	4A	LR2-32	notice	v	〜に気づく			
43	4A	LR2-33	happily	adv	楽しそうに			
44	4A	LR2-36	develop	v	〜を開発する			
45	4A	LR2-36	recognize	v	〜を認識する			
46	4A	LR2-36	value	n	価値			
47	4A	LR2-36	cooperation	n	協力			
48	4A	LR2-37	expect	v	〜を期待する			
49	4A	LR2-37	imperfect	adj	不完全な			
50	4A	LR2-41	okay	adj	大丈夫な			
51	4A	LR2-42	might	v	〜かもしれない			
52	4A	LR2-42	cooperate	v	協力する			
53	4A	LR2-42	kind	adj	親切な	種類		
54	4A	LR2-43	live	v	暮らす			
