No	Unit	文番号	英文	日訳	キー文法1	キー文法2	キー文法3	備考
1	5	5-I-1	My Dreams for the Future	未来のための私の夢	(タイトル)			
2	5	5-I-2	Do you have any dreams for the future?	あなたは将来のための何か夢がありますか？	doの疑問文	any (疑問文)		
3	5	5-1-1	Today, I would like to make a suggestion about T-shirts for the contest.	今日、私はコンテストのためのTシャツについての提案をしたいと思います。	would like to do	make a suggestion	
4	5	5-1-2	How about choosing fair trade products?	フェアトレード製品を選ぶのはどうでしょうか？	How about -ing?		
5	5	5-1-3	I will explain the reason.	私がその理由を説明します。	will (未来)		
6	5	5-1-4	T-shirts are made of cotton, and they're mainly produced in developing countries.	Tシャツは綿で作られており、それらは主に発展途上国で生産されています。	受動態	be made of ~	
7	5	5-1-5	In these countries, many cotton farmers receive little income because big companies buy cotton at low prices to produce a lot of clothes cheaply.	これらの国々では、多くの綿農家はほとんど収入を得られません。なぜなら大企業が安い服を生産するために安い価格で綿を買うからです。	because (接続詞)	to不定詞(副詞的用法)	
8	5	5-1-6	So what can we do to help them?	では、彼らを助けるために私たちは何ができますか？	can	to不定詞(副詞的用法)	
9	5	5-1-7	Fair trade is one of the ways to solve that problem.	フェアトレードは、その問題を解決する方法の一つです。	one of the ~s	to不定詞(形容詞的用法)	
10	5	5-1-8	Look at this picture which I found on the internet.	私がインターネットで見つけたこの写真を見てください。	関係代名詞(目的格)	look at ~	
11	5	5-1-9	If we choose fair trade products, farmers can earn enough money to live.	もし私たちがフェアトレード製品を選べば、農家の人々は生活するのに十分なお金を稼ぐことができます。	if (接続詞)	enough ~ to do	
12	5	5-1-10	In this way, we can develop a fair and sustainable system of production.	このようにして、私たちは公正で持続可能な生産の仕組みを発展させることができます。	can		
13	5	5-1-11	We can start to change the world by making smart choices.	賢い選択をすることによって、私たちは世界を変え始めることができます。	start to do	by -ing	
14	5	5-2-1	Later, in the classroom	のちほど、教室で			
15	5	5-2-2	The presentation that you gave was great!	あなたが行ったプレゼンテーションは素晴らしかったです！	関係代名詞(目的格)		
16	5	5-2-3	Thank you.	ありがとう。			
17	5	5-2-4	Yes, I was impressed, too.	ええ、私も感動しました。	受動態	be impressed	
18	5	5-2-5	What made you interested in fair trade?	何があなたをフェアトレードに興味を持たせたのですか？	make O C	be interested in ~	
19	5	5-2-6	My aunt runs a fair trade shop in New York.	私のおばはニューヨークでフェアトレードのお店を経営しています。	三単現のs		
20	5	5-2-7	She sells clothes and accessories.	彼女は服やアクセサリーを売っています。	三単現のs		
21	5	5-2-8	Her work directly affects the lives of producers in distant countries.	彼女の仕事は、遠い国々の生産者たちの生活に直接影響を与えます。	三単現のs		
22	5	5-2-9	She says her job is challenging but rewarding.	彼女は、自分の仕事はやりがいがあるけれど、報われるものだと言っています。	三単現のs	but	
23	5	5-2-10	She's a really cool person, and I admire her.	彼女は本当に素敵な人で、私は彼女を尊敬しています。	and		
24	5	5-2-11	One day, I want to work with her.	いつか、私は彼女と一緒に働きたいです。	want to do		
25	5	5-2-12	I'm sure your dream will come true.	あなたの夢はきっと実現すると思います。	be sure (that)	come true	
26	5	5-2-13	Hajin, what do you want to do in the future?	ハジン、あなたは将来何をしたいですか？	want to do		
27	5	5-2-14	I want to keep playing basketball and become a professional basketball player.	私はバスケットボールをやり続けて、プロのバスケットボール選手になりたいです。	want to do	keep -ing	
28	5	5-2-15	We'll watch you on TV!	テレビであなたを見ますね！	will (未来)		
29	5	5-3-1	Kota, how about you?	コウタ、あなたはどうですか？	How about ~?		
30	5	5-3-2	I'm not sure about my future, but I have some ideas.	自分の将来についてはよく分かりませんが、いくつか考えはあります。	be sure about ~	but	
31	5	5-3-3	In the past three years, I've had a lot of memorable experiences.	過去3年間で、私はたくさんの記憶に残る経験をしました。	現在完了形(経験)	in the past	
32	5	5-3-4	In particular, meeting and getting to know David was an eye-opener for me.	特に、デイビッドに会って知り合いになったことは、私にとって目からウロコが落ちるような経験でした。	動名詞(主語)	get to know ~	
33	5	5-3-5	I learned about life from the viewpoint of a person in a wheelchair.	私は車椅子に乗っている人の視点から人生について学びました。	from the viewpoint of ~		
34	5	5-3-6	I see.	なるほど。/ わかりました。			
35	5	5-3-7	Being a puppy walker was another great experience I had.	パピーウォーカーになったことも、私がしたもう一つの素晴らしい経験でした。	動名詞(主語)	後置修飾	
36	5	5-3-8	I learned both about the joy and the responsibility of caring for Ricky.	私はリッキーの世話をすることの喜びと責任の両方について学びました。	both A and B	care for ~	
37	5	5-3-9	Now I feel that I want to be open to new experiences and ideas.	今、私は新しい経験や考えを受け入れたいと感じています。	feel that S V	be open to ~	
38	5	5-3-10	So?	それで？			
39	5	5-3-11	If I keep doing that, I'll come across something that will interest me.	もしそれを続ければ、私は自分を興味深くさせる何かに偶然出会うでしょう。	if (接続詞)	関係代名詞(主格)	
40	5	5-3-12	That might lead to my future career.	それが私の将来のキャリアにつながるかもしれません。	might	lead to ~	
41	5	5-G-1	Girls' Education in Africa	アフリカにおける女子教育	(タイトル)			
42	5	5-G-2	First, it's because of poverty.	第一に、それは貧困が原因です。	because of ~		
43	5	5-G-3	Instead of going to school, many girls have to do housework or help with work.	学校に行く代わりに、多くの少女たちが家事をしたり仕事を手伝ったりしなければなりません。	instead of ~	have to do	
44	5	5-G-4	This is a graph that shows the percentages of working children by region.	これは、地域別の働く子どもたちの割合を示すグラフです。	関係代名詞(主格)		
45	5	5-G-5	You'll find the percentage is very large in Sub-Saharan African countries.	サハラ以南のアフリカ諸国ではその割合が非常に大きいことがわかるでしょう。	find (that) S V		
46	5	5-G-6	It's more than 50 percent.	それは50パーセント以上です。	more than ~		
47	5	5-G-7	I think all girls should be able to go to school.	私はすべての少女が学校に行けるべきだと思います。	think (that) S V	should	be able to ~
48	5	5-G-8	For that, we have to solve the problems of poverty and child marriage.	そのために、私たちは貧困と児童婚の問題を解決しなければなりません。	have to do		
49	5	5-G-9	We can't do that quickly, but I'd like to do the things that I can do.	私たちはそれをすぐにはできませんが、私にできることをやりたいです。	can't	I'd like to do	関係代名詞(目的格)
